Account_No,Age,Gender,EducationLevel,Marital_Status,Account_Type,No_Of_Linked_Accounts,No_Of_Months_On_Bank,Has_Credit_Card,Credit_Score,Estimated_Income,Balance_Amount
4998365388,44,Male,High School,Single,Savings,3,46,Yes,646,60K - 80K,2331825
4998365389,57,Male,Unknown,Married,Savings,2,28,Yes,635,120K +,1976687
4998365390,51,Female,High School,Single,Savings,3,44,Yes,647,Less than 40K,1888031
4998365391,49,Male,High School,Single,Savings,2,45,Yes,808,80K - 120K,1873231
4998365392,45,Male,Graduate,Single,Savings,2,36,Yes,524,40K - 60K,1846231
4998365393,53,Male,Graduate,Single,Savings,2,29,Yes,769,80K - 120K,1803381
4998365394,45,Female,Unknown,Married,Savings,2,42,No,730,Unknown,1763456
4998365395,64,Male,Graduate,Married,Savings,1,35,No,515,Less than 40K,1561350
4998365396,45,Male,Graduate,Married,Savings,1,41,No,773,40K - 60K,1391548
4998365397,53,Male,Doctorate,Married,Savings,2,29,Yes,814,40K - 60K,1190978
4998365398,56,Male,College,Married,Savings,2,22,No,710,120K +,1178872
4998365399,47,Male,Unknown,Married,Savings,2,34,No,413,80K - 120K,1166261
4998365400,49,Female,College,Single,Savings,1,40,Yes,665,Unknown,1156886
4998365401,41,Female,Unknown,Married,Current,2,44,No,623,Unknown,1031686
4998365402,53,Male,Graduate,Married,Savings,1,31,Yes,738,120K +,970286
4998365403,,Female,Graduate,Single,Savings,2,36,Yes,528,Less than 40K,826586
4998365404,44,Male,High School,Unknown,Savings,1,65,Yes,670,60K - 80K,1326586
4998365405,43,Female,Post-Graduate,Married,Savings,2,46,Yes,622,Less than 40K,1826586
4998365406,53,Male,Post-Graduate,Single,Savings,1,32,Yes,582,120K +,2326586
4998365407,44,Male,Uneducated,Married,Savings,1,36,No,785,60K - 80K,2320586
4998365408,62,Female,Unknown,Married,Savings,1,33,No,605,Less than 40K,2222636
4998365409,54,Male,Unknown,Divorced,Savings,1,35,Yes,479,120K +,2189636
4998365410,57,Male,Graduate,Married,Savings,1,30,No,685,60K - 80K,1860336
4998365411,42,Male,Unknown,Married,Savings,2,39,Yes,538,60K - 80K,1842336
4998365412,42,Male,High School,Divorced,Savings,1,42,No,562,60K - 80K,1728936
4998365413,54,Female,Uneducated,Married,Savings,1,36,No,675,Less than 40K,1466710
4998365414,48,Male,Graduate,Single,Savings,2,28,No,721,80K - 120K,1147960
4998365415,49,Male,Graduate,Single,Savings,2,30,Yes,628,80K - 120K,1082411
4998365416,52,Male,High School,Unknown,Savings,1,37,Yes,668,80K - 120K,875910
4998365417,50,Male,High School,Single,Savings,2,41,Yes,506,80K - 120K,1375910
4998365418,49,Male,Doctorate,Married,Savings,1,31,Yes,524,60K - 80K,1290910
4998365419,53,Female,High School,Married,Savings,2,34,Yes,699,Less than 40K,1214521
4998365420,50,Male,Graduate,Single,Savings,2,34,No,828,120K +,1151796
4998365421,55,Female,Doctorate,Married,Savings,1,39,No,674,Less than 40K,1112796
4998365422,53,Male,High School,Married,Savings,2,39,Yes,656,80K - 120K,1103196
4998365423,47,Female,High School,Single,Savings,1,48,Yes,684,40K - 60K,979936
4998365424,55,Male,College,Single,Current,1,28,No,625,120K +,610133
4998365425,47,Male,Graduate,Single,Savings,1,42,Yes,432,60K - 80K,440008
4998365426,58,Male,Graduate,Single,Savings,1,52,No,549,120K +,940008
4998365427,53,Male,Graduate,Married,Savings,1,56,Yes,625,80K - 120K,732008
4998365428,52,Male,High School,Single,Savings,2,41,Yes,828,40K - 60K,1232008
4998365429,50,Female,Uneducated,Unknown,Current,1,24,Yes,770,Less than 40K,940858
4998365430,42,Female,Graduate,Married,Savings,2,34,Yes,758,Less than 40K,916858
4998365431,43,Male,Unknown,Married,Savings,1,33,Yes,795,40K - 60K,775312
4998365432,57,Male,Graduate,Married,Savings,1,38,Yes,687,80K - 120K,695312
4998365433,52,Male,Graduate,Married,Savings,2,25,No,686,80K - 120K,649062
4998365434,47,Male,Doctorate,Single,Savings,2,39,Yes,789,Less than 40K,606237
4998365435,44,Female,Graduate,Single,Savings,2,50,Yes,589,40K - 60K,426774
4998365436,53,Male,High School,Divorced,Savings,1,34,No,461,60K - 80K,407825
4998365437,45,Male,College,Divorced,Savings,1,40,No,637,60K - 80K,316384
4998365438,63,Female,College,Married,Savings,1,48,Yes,584,Unknown,168634
4998365439,39,Female,Post-Graduate,Single,Savings,2,35,No,579,Less than 40K,668634
4998365440,48,Female,High School,Married,Savings,1,44,Yes,756,Less than 40K,1168634
4998365441,51,Male,Unknown,Single,Savings,2,34,Yes,663,120K +,1058446
4998365442,54,Male,Graduate,Married,Savings,1,43,Yes,682,80K - 120K,996576
4998365443,59,Female,Graduate,Single,Savings,1,52,Yes,793,Less than 40K,912475
4998365444,59,Male,College,Single,Savings,1,31,Yes,691,60K - 80K,782775
4998365445,48,Female,Uneducated,Married,Savings,1,21,Yes,485,Less than 40K,775276
4998365446,41,Female,Graduate,Single,Savings,2,29,Yes,635,Less than 40K,695176
4998365447,55,Male,Graduate,Married,Savings,1,37,No,650,120K +,551326
4998365448,,Female,Graduate,Married,Savings,1,44,Yes,735,Unknown,261826
4998365449,41,Male,High School,Married,Savings,2,32,No,416,80K - 120K,761826
4998365450,40,Male,High School,Single,Savings,2,32,Yes,754,80K - 120K,1261826
4998365451,68,Male,Graduate,Married,Savings,1,48,Yes,535,Unknown,1166926
4998365452,50,Female,Graduate,Single,Current,2,42,Yes,716,40K - 60K,942075
4998365453,47,Male,Uneducated,Single,Savings,1,37,Yes,539,60K - 80K,657122
4998365454,53,Female,College,Married,Savings,2,43,Yes,614,Less than 40K,541972
4998365455,42,Female,Unknown,Married,Savings,1,57,Yes,706,40K - 60K,501972
4998365456,48,Female,High School,Single,Savings,2,33,No,758,40K - 60K,1001972
4998365457,49,Male,Doctorate,Married,Savings,2,28,Yes,586,120K +,856072
4998365458,44,Female,Uneducated,Married,Current,1,73,No,646,Unknown,772821
4998365459,43,Female,Graduate,Divorced,Savings,1,33,No,631,Less than 40K,580621
4998365460,56,Male,High School,Married,Savings,1,22,No,717,80K - 120K,505822
4998365461,59,Female,College,Single,Savings,2,30,Yes,684,Unknown,1005822
4998365462,46,Male,Uneducated,Married,Savings,1,49,No,800,60K - 80K,986422
4998365463,47,Female,Unknown,Divorced,Savings,2,36,Yes,721,Less than 40K,946722
4998365464,50,Female,Uneducated,Married,Savings,1,29,Yes,683,40K - 60K,903922
4998365465,51,Female,Uneducated,Married,Savings,2,31,Yes,660,Less than 40K,803520
4998365466,47,Female,Uneducated,Married,Savings,1,24,Yes,704,Less than 40K,702020
4998365467,58,Female,Uneducated,Married,Savings,1,41,Yes,615,Less than 40K,665059
4998365468,46,Male,Graduate,Single,Savings,2,39,Yes,667,80K - 120K,597209
4998365469,53,Male,High School,Married,Savings,2,24,No,682,60K - 80K,577409
4998365470,45,Female,Uneducated,Divorced,Savings,1,29,Yes,484,Unknown,567409
4998365471,52,Female,High School,Married,Savings,2,27,Yes,628,Less than 40K,542909
4998365472,53,Male,Unknown,Married,Savings,1,44,Yes,480,80K - 120K,501209
4998365473,50,Male,High School,Married,Current,1,30,Yes,578,80K - 120K,1001209
4998365474,41,Female,High School,Married,Savings,2,40,Yes,512,40K - 60K,783159
4998365475,45,Female,Graduate,Divorced,Savings,1,35,Yes,484,40K - 60K,596759
4998365476,53,Male,Uneducated,Married,Savings,2,30,Yes,510,80K - 120K,425429
4998365477,67,Female,Graduate,Married,Savings,2,36,No,606,Less than 40K,391029
4998365478,57,Female,Uneducated,Single,Current,1,40,No,597,40K - 60K,339830
4998365479,59,Female,Uneducated,Married,Savings,1,55,Yes,754,40K - 60K,180680
4998365480,45,Male,Uneducated,Married,Savings,1,45,Yes,850,40K - 60K,680680
4998365481,51,Male,Graduate,Married,Savings,2,65,Yes,510,80K - 120K,1180680
4998365482,59,Female,Uneducated,Married,Savings,2,45,Yes,778,Less than 40K,974605
4998365483,53,Male,Graduate,Married,Savings,2,42,Yes,636,60K - 80K,832605
4998365484,47,Male,Graduate,Married,Savings,1,50,Yes,804,60K - 80K,482255
4998365485,49,Female,Uneducated,Single,Savings,2,32,Yes,514,Unknown,138355
4998365486,49,Male,Post-Graduate,Single,Savings,1,39,Yes,730,80K - 120K,638355
4998365487,60,Female,College,Single,Savings,1,37,No,525,Less than 40K,1138355
4998365488,50,Female,High School,Married,Savings,2,30,No,616,Less than 40K,927855
4998365489,41,Female,Post-Graduate,Married,Savings,2,34,Yes,687,Unknown,788355
4998365490,57,Male,Graduate,Married,Savings,2,41,No,715,80K - 120K,695805
4998365491,43,Male,Graduate,Unknown,Savings,2,36,Yes,512,80K - 120K,1195805
4998365492,57,Female,Graduate,Married,Savings,2,40,No,479,Less than 40K,1695805
4998365493,54,Male,Doctorate,Married,Savings,1,32,Yes,601,120K +,1041307
4998365494,51,Female,Post-Graduate,Married,Savings,2,29,Yes,580,Less than 40K,536857
4998365495,47,Female,High School,Married,Savings,1,35,Yes,807,Less than 40K,1036857
4998365496,41,Male,High School,,Savings,2,32,Yes,616,120K +,475632
4998365497,53,Male,Uneducated,Married,Savings,1,37,Yes,721,80K - 120K,975632
4998365498,68,Male,High School,Married,Savings,2,57,Yes,501,Less than 40K,1475632
4998365499,59,Male,College,Married,Savings,1,35,Yes,521,60K - 80K,1329582
4998365500,48,Male,Unknown,Married,Savings,1,30,Yes,850,80K - 120K,1229282
4998365501,44,Male,Graduate,Married,Savings,1,42,No,759,60K - 80K,1166857
4998365502,48,Male,College,Married,Savings,1,50,No,516,80K - 120K,801557
4998365503,47,Male,Graduate,Married,Current,2,38,Yes,711,60K - 80K,778007
4998365504,47,Male,Graduate,Married,Current,1,33,Yes,512,60K - 80K,1278007
4998365505,43,Female,High School,Divorced,Current,1,37,Yes,550,Less than 40K,1018482
4998365506,55,Female,Graduate,Married,Savings,1,41,No,608,Less than 40K,635372
4998365507,59,Male,Post-Graduate,Married,Savings,1,34,Yes,618,60K - 80K,497222
4998365508,63,Male,Graduate,Married,Savings,1,45,Yes,643,40K - 60K,997222
4998365509,58,Male,College,Married,Savings,1,45,No,671,120K +,711823
4998365510,53,Female,High School,Married,Savings,2,33,Yes,689,Less than 40K,697823
4998365511,59,Male,Unknown,Unknown,Current,2,31,Yes,603,80K - 120K,643573
4998365512,52,Male,Graduate,Married,Savings,2,41,No,620,120K +,496073
4998365513,48,Male,High School,Single,Savings,1,34,Yes,676,60K - 80K,996073
4998365514,43,Male,High School,Married,Savings,2,26,No,572,40K - 60K,672573
4998365515,48,Male,College,Single,Savings,1,47,No,668,Less than 40K,492273
4998365516,43,Female,Graduate,Single,Savings,1,46,Yes,695,Less than 40K,992273
4998365517,44,Male,Unknown,Married,Savings,2,33,No,730,60K - 80K,1492273
4998365518,41,Male,High School,Married,Savings,2,43,Yes,807,80K - 120K,1269473
4998365519,44,Female,Uneducated,Divorced,Current,1,54,Yes,592,Less than 40K,1124023
4998365520,50,Male,Unknown,Single,Savings,2,31,Yes,726,40K - 60K,942023
4998365521,60,Female,Uneducated,Married,Savings,1,30,No,514,Less than 40K,736948
4998365522,44,Male,Graduate,Single,Savings,2,42,Yes,567,80K - 120K,566448
4998365523,48,Female,Graduate,Divorced,Savings,1,33,Yes,850,40K - 60K,1066448
4998365524,44,Female,Graduate,Divorced,Savings,1,45,Yes,671,Less than 40K,571196
4998365525,41,Male,High School,Single,Savings,2,37,Yes,670,80K - 120K,314596
4998365526,45,Male,College,Single,Savings,2,30,Yes,694,60K - 80K,814596
4998365527,47,Female,Uneducated,Divorced,Current,3,39,Yes,547,Less than 40K,1314596
4998365528,51,Female,Graduate,Married,Savings,1,50,Yes,751,Less than 40K,1814596
4998365529,51,Male,Graduate,Married,Savings,1,29,Yes,594,120K +,2314596
4998365530,60,Female,Uneducated,Married,Savings,2,72,No,673,40K - 60K,2309596
4998365531,57,Male,Unknown,Married,Savings,2,40,Yes,610,80K - 120K,1961396
4998365532,41,Male,Graduate,Single,Savings,2,37,No,512,120K +,1848496
4998365533,44,Male,Post-Graduate,Divorced,Savings,2,20,No,767,80K - 120K,1456245
4998365534,43,Male,College,Single,Savings,2,67,No,585,60K - 80K,1043945
4998365535,55,Male,College,Married,Savings,1,42,Yes,763,60K - 80K,525570
4998365536,52,Male,Uneducated,Married,Savings,1,29,Yes,712,80K - 120K,229120
4998365537,44,Male,Graduate,Unknown,Savings,3,43,Yes,539,80K - 120K,729120
4998365538,41,Male,Uneducated,Married,Savings,3,46,Yes,668,40K - 60K,1229120
4998365539,44,Male,Unknown,Single,Savings,2,28,No,703,80K - 120K,954520
4998365540,53,Female,Unknown,Married,Savings,2,38,Yes,662,Less than 40K,794795
4998365541,39,Male,High School,Single,Savings,1,39,Yes,725,80K - 120K,725795
4998365542,49,Male,College,Married,Savings,2,37,No,703,40K - 60K,481445
4998365543,45,Female,College,Married,Savings,1,67,Yes,659,Less than 40K,256645
4998365544,54,Male,Graduate,Married,Savings,2,34,Yes,523,80K - 120K,756645
4998365545,49,Male,Uneducated,Single,Savings,1,40,Yes,635,80K - 120K,1256645
4998365546,46,Female,Doctorate,Single,Savings,2,26,Yes,772,Unknown,1756645
4998365547,46,Male,High School,Married,Savings,2,26,Yes,545,120K +,1621595
4998365548,47,Male,Graduate,Married,Savings,1,24,Yes,634,60K - 80K,1590295
4998365549,44,Male,Doctorate,Single,Savings,1,54,Yes,739,60K - 80K,1569795
4998365550,50,Male,Post-Graduate,Single,Savings,1,36,No,771,120K +,1564295
4998365551,73,Male,High School,Married,Savings,2,34,Yes,587,40K - 60K,1359395
4998365552,56,Male,Unknown,Unknown,Savings,2,79,No,681,40K - 60K,796145
4998365553,59,Male,High School,Single,Savings,1,37,Yes,544,40K - 60K,589045
4998365554,70,Male,High School,Married,Savings,1,28,No,696,Less than 40K,450795
4998365555,55,Female,High School,Married,Savings,2,41,No,766,Less than 40K,254645
4998365556,43,Male,Unknown,Single,Savings,2,34,Yes,727,60K - 80K,754645
4998365557,45,Male,Uneducated,Single,Savings,2,34,No,671,120K +,1254645
4998365558,45,Female,Uneducated,Single,Savings,1,30,Yes,693,40K - 60K,1754645
4998365559,40,Male,Graduate,Married,Savings,1,38,Yes,850,40K - 60K,1634970
4998365560,36,Male,College,Unknown,Savings,2,42,Yes,732,80K - 120K,1497195
4998365561,59,Female,Post-Graduate,Married,Savings,1,48,Yes,726,40K - 60K,1435695
4998365562,43,Male,Unknown,Married,Savings,2,32,Yes,557,60K - 80K,1297345
4998365563,46,Female,Unknown,Married,Savings,1,26,No,682,Less than 40K,1057945
4998365564,41,Male,Uneducated,Married,Savings,1,31,Yes,738,40K - 60K,1557945
4998365565,51,Female,Graduate,Married,Savings,1,36,Yes,531,Less than 40K,2057945
4998365566,51,Female,Unknown,Unknown,Savings,2,34,Yes,498,Less than 40K,1786821
4998365567,43,Female,Graduate,Divorced,Savings,2,36,Yes,651,Unknown,1486022
4998365568,64,Female,High School,Married,Savings,1,39,No,549,40K - 60K,1151122
4998365569,54,Male,Graduate,Married,Savings,1,35,Yes,791,60K - 80K,1082872
4998365570,48,Male,Unknown,Single,Savings,2,41,No,650,40K - 60K,775747
4998365571,40,Male,Uneducated,Divorced,Savings,3,34,Yes,733,60K - 80K,300447
4998365572,57,Male,Uneducated,Married,Savings,2,34,Yes,811,40K - 60K,800447
4998365573,45,Male,Graduate,Single,Savings,2,30,Yes,707,80K - 120K,1300447
4998365574,41,Male,High School,Single,Savings,1,28,No,712,80K - 120K,1800447
4998365575,42,Female,Uneducated,Married,Savings,2,37,Yes,706,Less than 40K,1206119
4998365576,45,Male,Graduate,Single,Savings,1,62,Yes,756,60K - 80K,819019
4998365577,42,Female,Uneducated,Married,Savings,2,53,Yes,777,Less than 40K,1319019
4998365578,47,Male,Uneducated,Divorced,Savings,1,35,No,646,80K - 120K,608219
4998365579,48,Female,High School,Married,Savings,1,46,Yes,714,40K - 60K,222819
4998365580,43,Male,Graduate,Single,Current,2,39,Yes,782,80K - 120K,722819
4998365581,41,Male,High School,Unknown,Savings,2,29,Yes,775,80K - 120K,1222819
4998365582,54,Female,Uneducated,Married,Savings,1,35,Yes,479,40K - 60K,1143469
4998365583,54,Female,High School,Married,Savings,1,42,Yes,807,Unknown,758269
4998365584,61,Male,Graduate,Married,Savings,2,22,No,799,40K - 60K,458319
4998365585,61,Male,Uneducated,Married,Savings,2,40,Yes,675,80K - 120K,958319
4998365586,48,Male,High School,Married,Savings,1,29,Yes,602,120K +,1458319
4998365587,45,Female,Graduate,Single,Savings,1,32,Yes,475,Less than 40K,1184819
4998365588,54,Female,Graduate,Married,Savings,1,26,Yes,744,Unknown,947319
4998365589,54,Female,Doctorate,Married,Savings,2,34,Yes,588,Unknown,669566
4998365590,44,Male,Graduate,Single,Savings,1,42,No,703,60K - 80K,599266
4998365591,50,Female,Doctorate,Single,Savings,2,41,Yes,747,Unknown,536866
4998365592,55,Male,Doctorate,Married,Savings,2,27,Yes,583,60K - 80K,1036866
4998365593,48,Male,Graduate,Unknown,Savings,1,34,No,750,40K - 60K,1536866
4998365594,45,Male,College,Single,Savings,2,38,Yes,681,60K - 80K,1433566
4998365595,60,Male,High School,Married,Savings,1,25,Yes,773,40K - 60K,1251116
4998365596,55,Male,High School,Married,Savings,1,31,Yes,714,40K - 60K,1751116
4998365597,62,Female,High School,Married,Savings,3,44,Yes,687,40K - 60K,2251116
4998365598,38,Female,High School,Unknown,Savings,1,58,Yes,511,Less than 40K,2095616
4998365599,46,Male,High School,Single,Savings,2,33,Yes,627,40K - 60K,1851266
4998365600,50,Male,High School,Single,Current,2,31,Yes,694,120K +,1648467
4998365601,45,Male,Uneducated,Married,Savings,1,36,No,616,60K - 80K,1492967
4998365602,47,Male,Post-Graduate,Divorced,Savings,2,35,Yes,687,60K - 80K,1339667
4998365603,48,Male,College,Married,Salary,2,33,Yes,712,60K - 80K,989517
4998365604,35,Male,Uneducated,Married,Savings,1,33,No,553,60K - 80K,617617
4998365605,51,Male,Graduate,Married,Savings,1,31,Yes,667,120K +,271687
4998365606,36,Female,High School,Married,Savings,1,43,Yes,731,Unknown,771687
4998365607,47,Male,Graduate,Single,Savings,,35,Yes,629,80K - 120K,1271687
4998365608,52,Male,Graduate,Single,Savings,1,50,Yes,614,120K +,880837
4998365609,43,Female,Uneducated,Married,Savings,1,31,Yes,438,Less than 40K,795037
4998365610,63,Male,High School,Married,Savings,2,80,Yes,652,40K - 60K,750037
4998365611,61,Male,Graduate,Married,Savings,1,30,Yes,729,60K - 80K,1250037
4998365612,53,Male,Uneducated,Single,Savings,2,38,No,642,60K - 80K,1750037
4998365613,53,Female,Graduate,Married,Savings,1,59,Yes,806,Less than 40K,1172544
4998365614,57,Male,Graduate,Married,Savings,1,36,Yes,744,120K +,616320
4998365615,38,Female,Graduate,Single,Savings,2,37,No,474,Unknown,1116320
4998365616,53,Male,High School,Married,Savings,1,49,Yes,559,60K - 80K,1616320
4998365617,63,Female,Unknown,Married,Savings,2,42,Yes,706,Less than 40K,1190620
4998365618,49,Female,High School,Married,Savings,1,22,Yes,628,Less than 40K,977157
4998365619,45,Male,High School,Married,Savings,1,24,Yes,429,80K - 120K,1477157
4998365620,67,Male,Graduate,Married,Savings,1,57,Yes,525,40K - 60K,1277174
4998365621,48,Male,Graduate,Single,Current,1,30,Yes,680,80K - 120K,1046664
4998365622,51,Female,Uneducated,Divorced,Savings,1,40,Yes,749,Less than 40K,1036664
4998365623,52,Male,High School,Single,Current,2,31,No,763,80K - 120K,701414
4998365624,55,Female,Uneducated,Married,Savings,2,30,Yes,734,Unknown,1201414
4998365625,34,Male,High School,Married,Savings,1,35,Yes,716,60K - 80K,1202734
4998365626,56,Male,Uneducated,Married,Savings,2,35,Yes,594,120K +,1358234
4998365627,44,Female,Post-Graduate,Married,Savings,1,46,Yes,644,Less than 40K,1561033
4998365628,47,Male,Post-Graduate,Unknown,Savings,1,35,Yes,671,80K - 120K,1360234
4998365629,46,Female,Unknown,Married,Savings,2,26,Yes,664,Less than 40K,925784
4998365630,43,Female,Graduate,Single,Savings,2,50,No,656,40K - 60K,633609
4998365631,50,Female,Graduate,Single,Savings,1,40,Yes,667,Less than 40K,1133609
4998365632,38,Female,Uneducated,Single,Savings,2,44,No,663,Less than 40K,1633609
4998365633,53,Female,Graduate,Single,Savings,1,30,Yes,584,Less than 40K,1332409
